Video ID,Title,Category,Likes,Dislikes,Watch Time (Seconds),Product Tags,Number of Views
VID0083,Creating a Budget-Friendly Meal Plan,Food (Budgeting),2800,60,90,meal planning budget cooking,7
VID0084,The Art of Origami: Fold a Paper Crane,Art (Crafts),1900,25,180,origami paper crafts,6
VID0085,Learn Basic Coding in Minutes,Education (Tech),2100,90,120,coding programming,5
VID0086,Public Speaking Tips: How to Deliver a Captivating Presentation,Self-Help,3400,82,180,public speaking presentations,6
VID0087,The Power of Gratitude: Cultivating Positivity,Self-Help,2900,55,150,gratitude happiness,7
VID0088,Quick and Easy Hairstyles for Short Hair,Beauty,2600,40,90,hairstyle short hair,7
VID0089,Eco-Friendly Cleaning Products You Can Make at Home,DIY (Green Cleaning),2000,35,120,cleaning natural products,6
VID0090,The History of Animation: From Flipbooks to CGI,Entertainment (History),3600,110,240,animation film history,6
VID0091,Boost Your Immune System Naturally,Health,2200,50,120,immune health natural remedies,6
VID0092,The Power of Body Language: Communication Beyond Words,Self-Help (Communication),3000,65,150,body language communication skills,6
VID0093,Upcycling Tips for Old Clothes: Give Your Wardrobe a New Life,DIY (Fashion),2700,40,90,fashion upcycling,6
VID0094,The Art of Negotiation: Get What You Deserve,Self-Help (Business),2500,80,180,negotiation communication skills,56
VID0095,The Best Apps for Learning Photography,Photography,1800,35,120,photography mobile apps,67
VID0096,Simple and Effective Workout Routines at Home,Fitness (Home Workout),3300,75,90,exercise bodyweight workout,21
VID0097,The History of Pizza: From Ancient Times to Modern Toppings,Food (History),2900,60,150,history food culture,623
VID0098,The Benefits of Reading: Improve Your Focus and Knowledge,Education,2100,45,120,reading self-improvement,7
VID0099,How to Play the Ukulele: Basic Chords and Strumming Patterns,Music,2400,50,180,music ukulele,8
VID0100,Creating a Relaxing Nighttime Routine for Better Sleep,Wellness (Sleep),3200,68,180,sleep hygiene relaxation techniques,180
VID0101,Unboxing the New Smartphone,Tech,12345,678,1800,Smartphone mobile,100000
VID0102,Easy Summer Recipes,Food,7890,123,1200,Recipe cooking,85421
VID0103,Travel Guide: Thailand,Travel,23456,432,3600,Travel Thailand,154231
VID0104,Hilarious Cat Compilation,Entertainment,54321,1098,900,Cat funny,201987
VID0105,Makeup Tutorial for Beginners,Beauty,34567,876,1500,Makeup tutorial,123874
VID0106,Live Coding Session: Python,Education,98765,234,2700,Coding Python,87954
VID0107,Top 10 Gadgets of 2024,Tech,43210,567,1800,Gadget Tech,178523
VID0108,Work from Home Tips and Tricks,Productivity,87654,345,1200,Productivity Work from home,95142
VID0109,Fitness Routine for Beginners,Health & Fitness,65432,987,1800,Fitness Workout,132845
VID0110,Conspiracy Theories Debunked,Science,21098,7654,2400,Science Conspiracy Theory,117420
VID0111,Introduction to Machine Learning,Education,1200,50,6000,machine learning AI,15000
VID0112,Vegan Cooking for Beginners,Food,800,20,4500,vegan cooking,10000
VID0113,10 Tips for Better Sleep,Lifestyle,1500,100,7200,sleep health,20000
VID0114,How to Build a PC,Technology,2000,80,8400,PC building tech,25000
VID0115,Yoga for Stress Relief,Wellness,1000,30,4800,yoga stress relief,18000
VID0116,DIY Home Decoration Ideas,DIY,600,40,3600,DIY home decor,12000
VID0117,Basics of Astrophysics,Science,1800,60,7800,astrophysics science,22000
VID0118,Healthy Breakfast Recipes,Food,700,25,4200,breakfast recipes,13000
VID0119,Beginner's Guide to Photography,Photography,900,35,5400,photography beginners,16000
VID0120,Meditation Techniques for Beginners,Wellness,1300,70,6600,meditation beginners,19000
VID0121,How to Start a Small Business,Business,1100,45,6000,business entrepreneurship,17000
VID0122,Quick and Easy Dinner Ideas,Food,850,15,4800,dinner quick recipes,15000
VID0123,Introduction to Data Science,Education,1600,55,7200,data science analytics,21000
VID0124,5 Morning Habits for a Productive Day,Lifestyle,1400,40,6600,habits productivity,20000
VID0125,Tips for Better Smartphone Photography,Photography,950,25,5400,smartphone photography,18000
VID0126,Easy DIY Clothing Hacks,DIY,750,20,4200,DIY clothing hacks,14000
VID0127,Understanding Quantum Mechanics,Science,1700,75,7800,quantum mechanics physics,23000
VID0128,Healthy Lunch Ideas,Food,900,30,4800,lunch healthy recipes,16000
VID0129,Advanced Photoshop Techniques,Photography,1200,40,6000,photoshop advanced,19000
VID0130,Stress Management Tips,Wellness,1100,60,6600,stress management tips,21000
VID0131,Financial Planning for Beginners,Business,1300,50,7200,finance beginners,22000
VID0132,DIY Home Organization Ideas,DIY,800,25,4200,DIY home organization,14000
VID0133,Introduction to Artificial Intelligence,Education,1800,70,8400,AI artificial intelligence,25000
VID0134,Healthy Snack Ideas,Food,1000,40,5400,snacks healthy,17000
VID0135,Basics of Portrait Photography,Photography,850,30,4800,portrait photography,15000
VID0136,DIY Home Renovation Tips,DIY,700,35,3600,DIY renovation,12000
VID0137,The Universe and Beyond,Science,1900,80,9000,universe space,26000
VID0138,Quick and Healthy Breakfast Ideas,Food,950,20,4500,breakfast healthy,14000
VID0139,Intermediate Photography Techniques,Photography,1100,30,6000,photography techniques,18000
VID0140,Relaxation Exercises for Stress Relief,Wellness,1200,65,7200,relaxation stress relief,20000
VID0141,Marketing Strategies for Small Businesses,Business,1400,55,7800,marketing small businesses,22000
VID0142,DIY Home Decor Ideas,DIY,850,25,4800,DIY home decor,16000
VID0143,Introduction to Statistics,Education,1700,60,7800,statistics math,22000
VID0144,Healthy Dinner Recipes,Food,950,30,5400,dinner healthy recipes,17000
VID0145,Advanced Lighting Techniques in Photography,Photography,1250,45,6600,photography lighting,19000
VID0146,DIY Gardening Tips,DIY,800,20,4200,DIY gardening,15000
VID0147,Theories of Time and Space,Science,2000,70,8400,time space,25000
VID0148,Easy and Healthy Snack Recipes,Food,900,25,4800,snacks healthy,16000
VID0149,Advanced Photo Editing Techniques,Photography,1300,40,6000,photo editing advanced,19000
VID0150,Mindfulness Meditation Techniques,Wellness,1100,55,6600,mindfulness meditation,21000
VID0151,How to Bake a Perfect Chocolate Cake,Cooking,120,5,1800,baking chocolate,5000
VID0152,Introduction to Machine Learning,Education,450,10,3600,machine learning,10000
VID0153,Top 10 Action Movies of All Time,Entertainment,800,20,5400,movies action,20000
VID0154,Yoga for Beginners,Fitness,300,8,2400,yoga beginners,8000
VID0155,Travel Guide: Exploring Paris,Travel,600,15,4800,travel Paris,15000
VID0156,DIY Home Decor Ideas,Lifestyle,250,7,2100,DIY home decor,6000
VID0157,How to Code a Basic Website,Technology,400,12,3200,coding website,9000
VID0158,Makeup Tutorial: Smokey Eye Look,Beauty,700,18,4500,makeup tutorial,18000
VID0159,Financial Tips for Young Professionals,Finance,150,6,2000,finance tips,4000
VID0160,Healthy Breakfast Ideas,Food,400,10,3200,breakfast healthy,10000
VID0161,DIY Gardening: Planting Succulents,Gardening,200,5,1800,DIY gardening,6000
VID0162,Fashion Lookbook: Spring Collection,Fashion,550,12,3800,fashion spring,12000
VID0163,Meditation for Stress Relief,Wellness,350,9,2800,meditation stress,7000
VID0164,Book Review: The Alchemist,Literature,180,4,1500,books review,3000
VID0165,DIY Crafts: Handmade Greeting Cards,Crafts,280,6,2200,DIY crafts,7000
VID0166,Photography Tips for Beginners,Photography,420,11,3400,photography tips,11000
VID0167,Fitness Routine for Busy Professionals,Fitness,320,8,2600,fitness routine,8000
VID0168,Quick and Easy Dinner Recipes,Cooking,600,14,4000,cooking recipes,12000
VID0169,Career Advice: Finding Your Passion,Career,200,5,1800,career advice,5000
VID0170,How to Paint a Landscape,Art,380,10,3000,painting landscape,9000
VID0171,DIY Haircut Tutorial,Beauty,270,7,2300,DIY haircut,7000
VID0172,Travel Vlog: Exploring Tokyo,Travel,750,20,5600,travel Tokyo,18000
VID0173,Beginner's Guide to Investing,Finance,400,12,3200,investing beginner,10000
VID0174,Healthy Snack Ideas,Food,220,6,2000,snacks healthy,6000
VID0175,DIY Home Renovation Tips,Home Improvement,350,9,2800,DIY renovation,8000
VID0176,Makeup Tutorial: Natural Everyday Look,Beauty,680,15,4800,makeup tutorial,16000
VID0177,How to Grow Your Own Herbs,Gardening,300,8,2400,gardening herbs,7000
VID0178,Fashion Haul: Summer Edition,Fashion,510,12,3800,fashion haul,13000
VID0179,Stress Management Techniques,Wellness,420,10,3400,stress management,11000
VID0180,Classic Literature Recommendations,Literature,190,5,1700,literature classic,4000
VID0181,DIY Jewelry Making,Crafts,290,6,2200,DIY jewelry,8000
VID0182,Photography Composition Tips,Photography,450,12,3600,photography tips,12000
VID0183,Quick Workout Routine,Fitness,350,8,2700,workout routine,9000
VID0184,Easy Dessert Recipes,Cooking,550,14,4000,dessert recipes,13000
VID0185,Interview Tips for Job Seekers,Career,240,6,2100,interview tips,6000
VID0186,Landscape Photography Techniques,Photography,420,10,3400,photography landscape,10000
VID0187,Haircare Routine for Healthy Hair,Beauty,690,15,4800,haircare routine,17000
VID0188,Solo Travel Tips,Travel,580,18,4500,travel tips,15000
VID0189,Personal Finance Management,Finance,380,10,3000,finance management,8000
VID0190,Vegan Meal Ideas,Food,200,5,1800,vegan meal,5000
VID0191,DIY Home Organization Tips,Home Improvement,300,8,2400,DIY organization,7000
VID0192,Everyday Makeup Tutorial,Beauty,720,20,5600,makeup tutorial,19000
VID0193,Indoor Gardening Tips,Gardening,280,7,2300,gardening indoor,8000
VID0194,Summer Fashion Trends,Fashion,520,12,3800,fashion trends,14000
VID0195,Mindfulness Meditation Practice,Wellness,400,10,3200,mindfulness meditation,10000
VID0196,Must-Read Books of the Decade,Literature,170,5,1600,books must-reads,3500
VID0197,DIY Sewing Projects,Crafts,270,6,2200,DIY sewing,7000
VID0198,Advanced Photography Techniques,Photography,480,12,3600,photography advanced,11000
VID0199,Full Body Workout Routine,Fitness,370,8,2800,workout routine,9000
VID0200,Gourmet Cooking at Home,Cooking,580,15,4500,gourmet cooking,14000
VID0201,How to Bake the Perfect Chocolate Cake,Cooking,250,10,1800,baking chocolate,5000
VID0202,Introduction to Machine Learning,Education,800,5,3600,machine learning,10000
VID0203,10 Tips for a Healthy Lifestyle,Health,150,3,2400,health lifestyle,3000
VID0204,DIY Home Decoration Ideas,Home & DIY,300,20,2700,DIY home decor,7000
VID0205,Exploring the Grand Canyon,Travel,1000,15,5400,travel adventure,20000
VID0206,Yoga for Beginners,Health,400,8,3000,yoga fitness,8000
VID0207,How to Build a Birdhouse,Home & DIY,200,12,2100,DIY woodworking,6000
VID0208,Introduction to Astrophysics,Education,600,10,3300,astrophysics,12000
VID0209,Healthy Breakfast Ideas,Cooking,180,6,2000,cooking breakfast,4000
VID0210,Tips for Improving Concentration,Education,350,4,2500,education tips,6000
VID0211,Beginner's Guide to Gardening,Home & DIY,220,7,2400,gardening DIY,5000
VID0212,Mediterranean Diet Recipes,Cooking,400,15,2800,cooking recipes,9000
VID0213,Exploring Ancient Rome,Travel,1200,20,6000,travel history,25000
VID0214,Basic Car Maintenance Tips,Automotive,500,8,2700,automotive tips,8000
VID0215,Introduction to Classical Music,Music,700,5,3300,music classical,10000
VID0216,Quick and Easy Dinner Ideas,Cooking,300,10,2200,cooking dinner,6000
VID0217,Beginner's Guide to Oil Painting,Art,250,6,2400,art painting,5000
VID0218,Backpacking Tips for Beginners,Travel,400,12,2800,travel backpacking,8000
VID0219,Introduction to Quantum Mechanics,Education,800,10,3600,quantum mechanics,12000
VID0220,Healthy Smoothie Recipes,Cooking,220,5,2000,cooking smoothies,4000
VID0221,Tips for Home Organization,Home & DIY,350,8,2500,DIY organization,6000
VID0222,Exploring the Great Barrier Reef,Travel,1500,25,7200,travel nature,30000
VID0223,Introduction to Psychology,Education,700,15,3300,psychology,10000
VID0224,DIY Halloween Decoration Ideas,Home & DIY,400,10,2800,DIY Halloween,8000
VID0225,Tips for Stress Management,Health,250,5,2200,health stress,6000
VID0226,History of Ancient Egypt,History,1000,20,5400,history Egypt,20000
VID0227,Introduction to Astronomy,Education,900,8,3900,astronomy,15000
VID0228,Delicious Vegan Recipes,Cooking,600,10,3300,cooking vegan,12000
VID0229,Tips for Saving Money,Finance,400,6,2800,finance saving,8000
VID0230,Travel Photography Tips,Photography,300,8,2500,photography travel,6000
VID0231,Introduction to Calculus,Education,800,10,3600,calculus,12000
VID0232,DIY Furniture Restoration,Home & DIY,350,12,2800,DIY furniture,8000
VID0233,Healthy Snack Ideas,Cooking,220,5,2000,cooking snacks,4000
VID0234,Tips for Time Management,Education,400,8,2800,education time,8000
VID0235,Exploring the Amazon Rainforest,Travel,1800,30,10800,travel nature,40000
VID0236,Introduction to Economics,Education,600,10,3300,economics,12000
VID0237,DIY Home Renovation Ideas,Home & DIY,400,15,2800,DIY renovation,8000
VID0238,Healthy Dessert Recipes,Cooking,250,5,2200,cooking dessert,6000
VID0239,Tips for Effective Communication,Education,300,6,2400,education communication,6000
VID0240,Exploring the Taj Mahal,Travel,1500,25,7200,travel architecture,30000
VID0241,Beginner's Guide to Web Development,Technology,700,10,3300,web development,10000
VID0242,DIY Gardening Tips,Home & DIY,300,8,2200,DIY gardening,6000
VID0243,Introduction to World History,Education,1000,15,5400,history world,20000
VID0244,Healthy Salad Recipes,Cooking,400,10,2800,cooking salad,8000
VID0245,Tips for Building Self-Confidence,Psychology,250,5,2200,psychology confidence,6000
VID0246,Photography Composition Techniques,Photography,300,8,2500,photography composition,6000
VID0247,Introduction to Programming,Technology,900,12,3900,programming,15000
VID0248,DIY Home Improvement Projects,Home & DIY,500,15,2700,DIY home improvement,8000
VID0249,Quick and Easy Breakfast Recipes,Cooking,220,5,2000,cooking breakfast,4000
VID0250,Tips for Effective Leadership,Business,300,6,2400,leadership,6000
VID0251,Introduction to Machine Learning,Education,1024,15,3600,machine learning,5000
VID0252,How to Bake a Cake,Food,876,20,2400,baking recipe,3000
VID0253,Yoga for Beginners,Health,1350,30,4200,yoga beginners,8000
VID0254,Top 10 Action Movies of All Time,Entertainment,2050,40,5400,movies action,10000
VID0255,DIY Home Decoration Ideas,Lifestyle,920,25,3000,DIY decoration,6000
VID0256,Basic Guitar Tutorial,Music,1560,35,4800,guitar tutorial,7000
VID0257,How to Start a Small Business,Business,740,18,3200,business startup,4000
VID0258,Travel Vlog: Exploring Europe,Travel,1890,50,6000,travel vlog,12000
VID0259,Introduction to Astrophysics,Education,820,22,2800,astrophysics,4500
VID0260,Healthy Cooking Recipes,Food,1045,28,3600,cooking healthy,5500
VID0261,Meditation Techniques for Stress,Health,1720,45,5000,meditation stress,9000
VID0262,Behind the Scenes: Movie Making,Entertainment,980,23,3400,movies behind the scenes,6000
VID0263,DIY Gardening Tips,Lifestyle,695,17,2600,DIY gardening,3500
VID0264,Learn to Play Piano,Music,1420,32,4600,piano tutorial,8000
VID0265,Financial Planning for Beginners,Business,620,14,2800,finance planning,4000
VID0266,Backpacking Europe: Tips & Tricks,Travel,1985,55,6200,travel backpacking,11000
VID0267,Introduction to Quantum Physics,Education,930,26,3200,quantum physics,5000
VID0268,Quick & Easy Dinner Recipes,Food,1160,31,3800,cooking recipes,6500
VID0269,Healthy Habits for a Better Life,Health,1450,37,4800,health habits,8000
VID0270,Movie Review: Sci-Fi Classics,Entertainment,1895,48,5800,movies sci-fi,10000
VID0271,DIY Home Improvement Ideas,Lifestyle,810,21,2800,DIY home improvement,4500
VID0272,Guitar Solo Techniques,Music,1280,29,4200,guitar solo,7000
VID0273,Marketing Strategies for Small Businesses,Business,675,16,2600,marketing small business,3500
VID0274,Travel Guide: Tokyo,Travel,1675,42,5400,travel guide,9000
VID0275,Introduction to Artificial Intelligence,Education,1025,24,3400,artificial intelligence,6000
VID0276,Baking for Beginners,Food,920,27,3200,baking beginners,5500
VID0277,Yoga for Stress Relief,Health,1580,34,4600,yoga stress relief,8000
VID0278,Top 10 Comedy Movies,Entertainment,2150,51,6400,movies comedy,11000
VID0279,DIY Fashion: Upcycling Clothes,Lifestyle,750,19,2600,DIY fashion,4000
VID0280,Drumming Basics for Beginners,Music,1380,33,4800,drumming beginners,7500
VID0281,Business Plan Essentials,Business,710,20,3000,business planning,5000
VID0282,Solo Travel Tips,Travel,1740,46,5600,travel solo,9500
VID0283,Introduction to Psychology,Education,875,23,3200,psychology,5500
VID0284,Healthy Breakfast Ideas,Food,1080,29,3600,cooking breakfast,6000
VID0285,Mindfulness Meditation,Health,1620,38,5000,mindfulness meditation,8500
VID0286,Behind the Scenes: TV Production,Entertainment,975,22,3200,TV production behind the scenes,5500
VID0287,DIY Home Organization Tips,Lifestyle,720,16,2800,DIY organization,4500
VID0288,Advanced Guitar Techniques,Music,1460,35,5000,guitar advanced,8000
VID0289,Social Media Marketing Strategies,Business,680,18,2800,marketing social media,4500
VID0290,Traveling on a Budget,Travel,1850,48,6000,travel budget,10000
VID0291,Chemistry Basics for Beginners,Education,940,25,3400,chemistry beginners,6000
VID0292,Vegetarian Cooking Recipes,Food,1120,30,3800,cooking vegetarian,6500
VID0293,Stress Management Techniques,Health,1550,40,4800,stress management,8500
VID0294,Hollywood Movie Trivia,Entertainment,2200,55,6800,movies trivia,12000
VID0295,DIY Home Renovation Tips,Lifestyle,830,22,3000,DIY renovation,5000
VID0296,Advanced Drumming Techniques,Music,1540,38,5200,drumming advanced,8500
VID0297,Financial Management for Small Businesses,Business,725,17,3000,finance small business,5000
VID0298,Travel Guide: Paris,Travel,1705,44,5800,travel guide,9500
VID0299,Physics Experiments for Kids,Education,890,28,3600,physics kids,5500
VID0300,Vegan Cooking: Easy Recipes,Food,1195,32,4000,cooking vegan,233444
VID0301,How to Cook a Perfect Steak,Cooking,1500,50,1800,steak cooking,5000
VID0302,The Ultimate Guide to Gardening,Gardening,1200,30,2400,gardening plants,4500
VID0303,Mastering Chess Strategy,Gaming,800,20,3600,chess strategy,3000
VID0304,10 Tips for Better Sleep,Health,2000,100,1200,sleep health,6000
VID0305,DIY Home Decor Ideas,DIY & Crafts,1800,60,1500,home decor crafts,5500
VID0306,Exploring National Parks,Travel,2500,70,2000,national parks travel,7000
VID0307,Learning Guitar Basics,Music,1700,40,2100,guitar music,4000
VID0308,Introduction to Astrophysics,Science,900,25,3000,astrophysics science,3500
VID0309,Easy Vegan Recipes,Cooking,1400,55,1700,vegan cooking,4800
VID0310,Yoga for Beginners,Fitness,1600,45,2200,yoga fitness,5200
VID0311,Digital Photography Tips,Photography,1100,35,2700,photography tips,4200
VID0312,Financial Planning 101,Finance,1900,75,1900,finance planning,5800
VID0313,DIY Skincare Products,Beauty,2200,80,1600,skincare DIY,6200
VID0314,History of Ancient Civilizations,History,1300,50,2300,history civilizations,4000
VID0315,Quick and Healthy Breakfast Ideas,Cooking,1750,65,1850,breakfast cooking,5300
VID0316,Introduction to Meditation,Wellness,1400,40,2500,meditation wellness,4700
VID0317,Coding for Beginners,Technology,2000,90,1300,coding technology,6800
VID0318,Basics of Watercolor Painting,Art,1200,55,2400,watercolor art,4100
VID0319,Healthy Meal Prep Ideas,Cooking,1650,70,2100,meal prep cooking,5600
VID0320,Hiking Tips for Beginners,Outdoors,1300,40,2800,hiking outdoors,4400
VID0321,Introduction to Psychology,Education,1500,60,2000,psychology education,4900
VID0322,Basic Car Maintenance,Automotive,1800,50,1900,car maintenance auto,5400
VID0323,Quick and Easy Dessert Recipes,Cooking,2100,85,1700,dessert cooking,6000
VID0324,Introduction to Cryptocurrency,Finance,2300,75,1500,cryptocurrency finance,6200
VID0325,Tips for Better Time Management,Productivity,1900,60,2200,time management tips,5800
VID0326,Beginner's Guide to Bird Watching,Nature,1400,45,2600,bird watching nature,5100
VID0327,Healthy Snack Ideas,Cooking,1700,55,2000,snacks cooking,4700
VID0328,Introduction to Data Science,Technology,2500,70,1900,data science tech,6400
VID0329,DIY Home Repair Tips,Home & Garden,1600,50,2300,home repair DIY,5100
VID0330,Beginner's Guide to Drawing,Art,2000,65,2100,drawing art,5700
VID0331,Vegan Meal Ideas,Cooking,1900,80,1800,vegan cooking,5900
VID0332,Introduction to Astronomy,Science,2200,75,1700,astronomy science,6100
VID0333,Photography Editing Techniques,Photography,1800,60,2200,photography editing,5500
VID0334,Beginner's Guide to Yoga,Fitness,2100,70,2000,yoga fitness,5900
VID0335,Investing for Beginners,Finance,2300,85,1600,investing finance,6300
VID0336,Healthy Smoothie Recipes,Cooking,1800,50,2300,smoothie cooking,5400
VID0337,Beginner's Guide to Meditation,Wellness,1900,60,2100,meditation wellness,5700
VID0338,Introduction to Machine Learning,Technology,2400,70,1800,machine learning tech,6200
VID0339,DIY Home Decor Projects,DIY & Crafts,1700,55,2100,home decor crafts,4900
VID0340,Tips for a Healthy Lifestyle,Health,2000,65,1900,healthy lifestyle health,5700
VID0341,Introduction to World History,History,1400,45,2300,world history history,5200
VID0342,Basic Car Maintenance Tips,Automotive,1800,60,2000,car maintenance auto,5300
VID0343,Vegan Cooking Tips,Cooking,2100,75,1700,vegan cooking,5900
VID0344,Introduction to Blockchain,Technology,2200,80,1600,blockchain tech,6000
