Video ID,Title,Category,Likes,Dislikes,Watch Time (Seconds),Product Tags,Number of Views,score,ratings
VID0020,ASMR: Relaxing Sounds of Nature,Entertainment,3500,70,240,nature relaxation,110,31.181818181818183,1.0439111140132455
VID0021,Boost Your Home Wi-Fi Signal,Tech,2400,90,150,internet troubleshooting,8,288.75,1.4066838374563622
VID0022,French Braid Hairstyle for Beginners,Beauty,1700,35,90,hairstyle braid,10,166.5,1.234500436821003
VID0023,Learn Basic Sign Language Phrases,Education,2900,60,120,sign language communication,1,2840.0,5.0
VID0024,K-Pop Dance Challenge,Entertainment,4800,150,45,dance K-Pop,602,7.724252491694352,1.0108722311408298
VID0025,5-Minute Makeup Routine for Work,Beauty,3100,70,75,makeup tutorial,6,505.0,1.7112618365352694
VID0026,The Science of Sleep,Education,2600,80,180,sleep health,6,420.0,1.5915433166661035
VID0027,Vegan Cheese Making at Home,Food,1500,45,90,vegan cheese,6,242.5,1.3415428781157868
VID0028,Must-Have Apps for Students,Education,1900,50,105,productivity apps,6,308.3333333333333,1.4342660454654346
VID0029,Quick and Easy Guitar Chords,Music,2200,65,120,guitar music,6,355.8333333333333,1.5011675712746744
VID0030,Travel Packing Hacks for Carry-On Luggage,Travel,3300,100,60,travel tips packing,6,533.3333333333334,1.7511680098249913
VID0031,DIY Gift Wrapping Ideas for Any Occasion,DIY,2000,40,90,crafts gift wrapping,6,326.6666666666667,1.460087687005843
VID0032,Meditation for Beginners: Reduce Stress & Anxiety,Wellness,2700,55,240,meditation mindfulness,6,440.8333333333333,1.62088609114384
VID0033,The History of Chocolate,Food (History),1800,25,150,history food,6,295.8333333333333,1.4166603807787927
VID0034,5 Must-Try Indoor Plants for Beginners,Home & Garden,1900,30,75,plants home decor,6,311.6666666666667,1.4389608893818726
VID0035,Animal Training Tricks You Can Do at Home,Entertainment,3500,85,45,pets training,6,569.1666666666666,1.8016375819266983
VID0036,Beginner's Guide to Watercolor Painting,Art,1500,20,120,art painting,6,246.66666666666666,1.347411433011334
VID0037,Quick and Healthy Breakfast Smoothie Bowls,Food,2300,60,60,breakfast smoothie,6,373.3333333333333,1.5258155018359734
VID0038,Learn a magic trick with a deck of cards,Entertainment,4000,110,30,magic card trick,6,648.3333333333334,1.9131401249420978
VID0039,Spicy Food Challenge,Entertainment (Spanish),3200,140,90,food challenge spicy,23,133.04347826086956,1.1873784925553648
VID0040,Delicious and Easy Crêpes,Food (French),2100,35,75,cooking French,122,16.92622950819672,1.0238327848853679
VID0041,Quick and Easy Blintzes Recipe,Food (Armenian),1600,20,90,cooking Armenian,111,14.234234234234235,1.0200412355948552
VID0042,Easy Korean Traditional House Cleaning Tips,DIY (Korean),2400,50,120,cleaning home hacks,5,470.0,1.6619659754126714
VID0043,Strumming Basics for Ukulele Beginners,Music,1800,45,105,music ukulele,6,292.5,1.411965536862355
VID0044,Amazing Paper Airplane Designs That Actually Fly,Entertainment,3900,90,45,crafts airplanes,5,762.0,2.0732343024926294
VID0045,The Art of Bullet Journaling,Productivity,2500,60,150,organization journaling,6,406.6666666666667,1.572763941000352
VID0046,Workout Routine for Busy Schedules,Fitness,2200,75,60,exercise fitness,6,354.1666666666667,1.4988201493164555
VID0047,Delicious Vegan Burger Alternatives,Food,1900,40,75,vegan burgers,6,310.0,1.4366134674236537
VID0048,Smartphone Photography Hacks for Beginners (Part 2),Tech,2000,55,120,photography mobile,6,324.1666666666667,1.4565665540685147
VID0049,Declutter Your Home in 5 Easy Steps,DIY,2800,80,180,organization decluttering,6,453.3333333333333,1.6384917558304823
VID0050,Learn Basic Guitar Chords in Minutes (Advanced),Music,1700,110,150,music guitar,6,265.0,1.3732330745517423
VID0051,Public Speaking Tips for Overcoming Nervousness,Self-Help,3200,130,180,public speaking anxiety,6,511.6666666666667,1.720651524368145
VID0052,The Benefits of Laughter for Your Health,Wellness,2900,70,120,health happiness,6,471.6666666666667,1.6643133973708906
VID0053,5 Creative Ways to Repurpose Old Furniture,DIY,2100,45,90,furniture crafts,6,342.5,1.4823881956089229
VID0054,Time Management Hacks for Students,Education,2600,65,150,productivity time management,6,422.5,1.5950644496034319
VID0055,The History of Video Games,Entertainment (History),4100,100,180,gaming history,6,666.6666666666666,1.938961766482506
VID0056,Yoga for Beginners: Improve Flexibility and Mindfulness,Fitness,2300,50,240,yoga meditation,6,375.0,1.5281629237941923
VID0057,Easy Weeknight Dinners: 30 Minutes or Less,Food,3400,85,60,cooking meal prep,6,552.5,1.778163362344509
VID0058,The Power of Positive Thinking,Self-Help,2000,40,120,motivation self-improvement,6,326.6666666666667,1.460087687005843
VID0059,Documentaries That Will Change Your Perspective,Entertainment (Documentary),3700,120,210,documentary social issues,6,596.6666666666666,1.8403700442373108
VID0060,Creating a Budget for Beginners,Finance,2800,90,150,finance budgeting,6,451.6666666666667,1.6361443338722634
VID0061,Natural Hair Care Routine for Beginners,Beauty,2400,60,120,hair care natural hair,9500,0.2463157894736842,1.0003399074506514
VID0062,The Art of Calligraphy: Learn Basic Strokes,Art,1900,35,180,calligraphy lettering,56,33.30357142857143,1.0468995041100562
VID0063,10 Travel Hacks That Will Save You Money,Travel,3000,70,75,travel tips budget travel,76,38.55263157894737,1.054292559544259
VID0064,How to Make Your Own Kombucha at Home,Food,1700,40,90,fermented drinks kombucha,56,29.642857142857142,1.0417435594518254
VID0065,The Science of Sleep Deprivation,Education (Science),2200,55,150,sleep health,6,357.5,1.5035149932328933
VID0066,Line Dancing for Beginners: Fun and Easy Steps,Entertainment,3500,80,60,dance line dancing,55,62.18181818181818,1.0875731624361178
VID0067,Minimalist Makeup Routine for a Natural Look,Beauty,2800,45,90,makeup minimalism,6,459.1666666666667,1.6467077326842485
VID0068,The Best Apps for Learning a New Language,Education,2500,60,120,language learning apps,5,488.0,1.6873181325614361
VID0071,Birdwatching for Beginners: Identify Common Birds,Entertainment (Nature),2600,40,150,nature birds,6,426.6666666666667,1.6009330044989794
VID0072,How to Fix a Leaky Faucet: DIY Plumbing,DIY,2000,80,180,home repair plumbing,5,384.0,1.5408390023685743
VID0073,The History of Hip Hop Music,Entertainment (History),3800,95,210,music hip hop,6,617.5,1.8697128187150476
VID0074,5 Fun Indoor Activities for Kids,Entertainment (Family),3200,65,90,activities kids,5,627.0,1.8830931238768955
VID0075,The Importance of Self-Care for Busy People,Wellness,2700,50,120,mental health self-care,6,441.6666666666667,1.6220598021229495
VID0076,Stoic Philosophy for Beginners,Self-Help (Philosophy),1800,70,150,philosophy stoicism,5,346.0,1.4873177817211827
VID0077,Delicious and Healthy Smoothie Bowls for Weight Loss,Food (Health),2300,45,90,smoothie healthy eating,6,375.8333333333333,1.5293366347733017
VID0078,The Night Sky for Beginners: Identifying Constellations,Education (Science),2900,60,180,astronomy constellations,6,473.3333333333333,1.6666608193291095
VID0079,How to Write a Compelling Cover Letter,Job Search,2200,85,120,career job application,5,423.0,1.5957686761908976
VID0080,Quick and Easy Cleaning Hacks for Your Kitchen,DIY,2500,55,75,cleaning kitchen hacks,6,407.5,1.5739376519794614
VID0081,Stress Management Techniques for Relaxation,Wellness,3100,70,150,stress relief mindfulness,5,606.0,1.8535156072033367
VID0082,The Benefits of Exercise for Your Mental Health,Fitness (Mental Health),2400,45,120,exercise mental well-being,34,69.26470588235294,1.0975490781056183
VID0083,Creating a Budget-Friendly Meal Plan,Food (Budgeting),2800,60,90,meal planning budget cooking,7,391.42857142857144,1.5513017973823504
VID0084,The Art of Origami: Fold a Paper Crane,Art (Crafts),1900,25,180,origami paper crafts,6,312.5,1.440134600360982
VID0085,Learn Basic Coding in Minutes,Education (Tech),2100,90,120,coding programming,5,402.0,1.566191159517339
VID0086,Public Speaking Tips: How to Deliver a Captivating Presentation,Self-Help,3400,82,180,public speaking presentations,6,553.0,1.7788675889319747
VID0087,The Power of Gratitude: Cultivating Positivity,Self-Help,2900,55,150,gratitude happiness,7,406.42857142857144,1.5724285950063206
VID0088,Quick and Easy Hairstyles for Short Hair,Beauty,2600,40,90,hairstyle short hair,7,365.7142857142857,1.5150844300269724
VID0089,Eco-Friendly Cleaning Products You Can Make at Home,DIY (Green Cleaning),2000,35,120,cleaning natural products,6,327.5,1.4612613979849525
VID0090,The History of Animation: From Flipbooks to CGI,Entertainment (History),3600,110,240,animation film history,6,581.6666666666666,1.8192432466133404
VID0091,Boost Your Immune System Naturally,Health,2200,50,120,immune health natural remedies,6,358.3333333333333,1.5046887042120027
VID0092,The Power of Body Language: Communication Beyond Words,Self-Help (Communication),3000,65,150,body language communication skills,6,489.1666666666667,1.6889613279321893
VID0093,Upcycling Tips for Old Clothes: Give Your Wardrobe a New Life,DIY (Fashion),2700,40,90,fashion upcycling,6,443.3333333333333,1.6244072240811684
VID0094,The Art of Negotiation: Get What You Deserve,Self-Help (Business),2500,80,180,negotiation communication skills,56,43.214285714285715,1.060858281111608
VID0095,The Best Apps for Learning Photography,Photography,1800,35,120,photography mobile apps,67,26.34328358208955,1.0370962645942425
VID0096,Simple and Effective Workout Routines at Home,Fitness (Home Workout),3300,75,90,exercise bodyweight workout,21,153.57142857142858,1.2162911493451047
VID0097,The History of Pizza: From Ancient Times to Modern Toppings,Food (History),2900,60,150,history food culture,623,4.558587479935794,1.0064135402042493
VID0098,The Benefits of Reading: Improve Your Focus and Knowledge,Education,2100,45,120,reading self-improvement,7,293.57142857142856,1.4134745938354956
VID0099,How to Play the Ukulele: Basic Chords and Strumming Patterns,Music,2400,50,180,music ukulele,8,293.75,1.413726103331019
VID0100,Creating a Relaxing Nighttime Routine for Better Sleep,Wellness (Sleep),3200,68,180,sleep hygiene relaxation techniques,180,17.4,1.024500068438737
VID0101,Unboxing the New Smartphone,Tech,12345,678,1800,Smartphone mobile,100000,0.11667,1.0001573074268506
VID0102,Easy Summer Recipes,Food,7890,123,1200,Recipe cooking,85421,0.09092611887006707,1.0001210483757381
VID0103,Travel Guide: Thailand,Travel,23456,432,3600,Travel Thailand,154231,0.14928256965201547,1.0002032407041197
VID0104,Hilarious Cat Compilation,Entertainment,54321,1098,900,Cat funny,201987,0.26349715575754873,1.0003641066005435
VID0105,Makeup Tutorial for Beginners,Beauty,34567,876,1500,Makeup tutorial,123874,0.27197797762242276,1.0003760514410251
VID0106,Live Coding Session: Python,Education,98765,234,2700,Coding Python,87954,1.1202560429315325,1.0015708113753343
VID0107,Top 10 Gadgets of 2024,Tech,43210,567,1800,Gadget Tech,178523,0.23886558034538968,1.0003294141799506
VID0108,Work from Home Tips and Tricks,Productivity,87654,345,1200,Productivity Work from home,95142,0.9176704294633286,1.0012854790248495
VID0109,Fitness Routine for Beginners,Health & Fitness,65432,987,1800,Fitness Workout,132845,0.48511423087056343,1.0006762438736054
VID0110,Conspiracy Theories Debunked,Science,21098,7654,2400,Science Conspiracy Theory,117420,0.1144949753023335,1.0001542440064095
VID0111,Introduction to Machine Learning,Education,1200,50,6000,machine learning AI,15000,0.07666666666666666,1.0001009646050094
VID0112,Vegan Cooking for Beginners,Food,800,20,4500,vegan cooking,10000,0.078,1.000102842542576
VID0113,10 Tips for Better Sleep,Lifestyle,1500,100,7200,sleep health,20000,0.07,1.0000915749171766
VID0114,How to Build a PC,Technology,2000,80,8400,PC building tech,25000,0.0768,1.0001011523987662
VID0115,Yoga for Stress Relief,Wellness,1000,30,4800,yoga stress relief,18000,0.05388888888888889,1.0000688831715805
VID0116,DIY Home Decoration Ideas,DIY,600,40,3600,DIY home decor,12000,0.04666666666666667,1.0000587110097614
VID0117,Basics of Astrophysics,Science,1800,60,7800,astrophysics science,22000,0.07909090909090909,1.0001043790369486
VID0118,Healthy Breakfast Recipes,Food,700,25,4200,breakfast recipes,13000,0.051923076923076926,1.0000661144174758
VID0119,Beginner's Guide to Photography,Photography,900,35,5400,photography beginners,16000,0.0540625,1.0000691276947011
VID0120,Meditation Techniques for Beginners,Wellness,1300,70,6600,meditation beginners,19000,0.06473684210526316,1.0000841620057295
VID0121,How to Start a Small Business,Business,1100,45,6000,business entrepreneurship,17000,0.062058823529411763,1.000080390141964
VID0122,Quick and Easy Dinner Ideas,Food,850,15,4800,dinner quick recipes,15000,0.05566666666666667,1.0000713870883358
VID0123,Introduction to Data Science,Education,1600,55,7200,data science analytics,21000,0.07357142857142857,1.000096605107087
VID0124,5 Morning Habits for a Productive Day,Lifestyle,1400,40,6600,habits productivity,20000,0.068,1.0000887580108266
VID0125,Tips for Better Smartphone Photography,Photography,950,25,5400,smartphone photography,18000,0.05138888888888889,1.000065362038643
VID0126,Easy DIY Clothing Hacks,DIY,750,20,4200,DIY clothing hacks,14000,0.052142857142857144,1.0000664239676242
VID0127,Understanding Quantum Mechanics,Science,1700,75,7800,quantum mechanics physics,23000,0.07065217391304347,1.000092493473595
VID0128,Healthy Lunch Ideas,Food,900,30,4800,lunch healthy recipes,16000,0.054375,1.0000695678363183
VID0129,Advanced Photoshop Techniques,Photography,1200,40,6000,photoshop advanced,19000,0.061052631578947365,1.0000789729677166
VID0130,Stress Management Tips,Wellness,1100,60,6600,stress management tips,21000,0.049523809523809526,1.0000627351616898
VID0131,Financial Planning for Beginners,Business,1300,50,7200,finance beginners,22000,0.056818181818181816,1.000073008943507
VID0132,DIY Home Organization Ideas,DIY,800,25,4200,DIY home organization,14000,0.055357142857142855,1.0000709511385437
VID0133,Introduction to Artificial Intelligence,Education,1800,70,8400,AI artificial intelligence,25000,0.0692,1.0000904481546367
VID0134,Healthy Snack Ideas,Food,1000,40,5400,snacks healthy,17000,0.05647058823529412,1.0000725193742217
VID0135,Basics of Portrait Photography,Photography,850,30,4800,portrait photography,15000,0.05466666666666667,1.000069978635161
VID0136,DIY Home Renovation Tips,DIY,700,35,3600,DIY renovation,12000,0.05541666666666667,1.0000710349750421
VID0137,The Universe and Beyond,Science,1900,80,9000,universe space,26000,0.07,1.0000915749171766
VID0138,Quick and Healthy Breakfast Ideas,Food,950,20,4500,breakfast healthy,14000,0.06642857142857143,1.000086544727266
VID0139,Intermediate Photography Techniques,Photography,1100,30,6000,photography techniques,18000,0.059444444444444446,1.0000767079114412
VID0140,Relaxation Exercises for Stress Relief,Wellness,1200,65,7200,relaxation stress relief,20000,0.05675,1.0000729129126087
VID0141,Marketing Strategies for Small Businesses,Business,1400,55,7800,marketing small businesses,22000,0.061136363636363635,1.0000790909003987
VID0142,DIY Home Decor Ideas,DIY,850,25,4800,DIY home decor,16000,0.0515625,1.0000656065617637
VID0143,Introduction to Statistics,Education,1700,60,7800,statistics math,22000,0.07454545454545454,1.0000979769770626
VID0144,Healthy Dinner Recipes,Food,950,30,5400,dinner healthy recipes,17000,0.05411764705882353,1.0000692053667513
VID0145,Advanced Lighting Techniques in Photography,Photography,1250,45,6600,photography lighting,19000,0.06342105263157895,1.0000823087778679
VID0146,DIY Gardening Tips,DIY,800,20,4200,DIY gardening,15000,0.052,1.0000662227600279
VID0147,Theories of Time and Space,Science,2000,70,8400,time space,25000,0.0772,1.000101715780036
VID0148,Easy and Healthy Snack Recipes,Food,900,25,4800,snacks healthy,16000,0.0546875,1.0000700079779354
VID0149,Advanced Photo Editing Techniques,Photography,1300,40,6000,photo editing advanced,19000,0.06631578947368422,1.0000863858791635
VID0150,Mindfulness Meditation Techniques,Wellness,1100,55,6600,mindfulness meditation,21000,0.049761904761904764,1.0000630705076838
VID0151,How to Bake a Perfect Chocolate Cake,Cooking,120,5,1800,baking chocolate,5000,0.023,1.0000253776179548
VID0152,Introduction to Machine Learning,Education,450,10,3600,machine learning,10000,0.044,1.0000549551346283
VID0153,Top 10 Action Movies of All Time,Entertainment,800,20,5400,movies action,20000,0.039,1.0000479128687536
VID0154,Yoga for Beginners,Fitness,300,8,2400,yoga beginners,8000,0.0365,1.0000443917358164
VID0155,Travel Guide: Exploring Paris,Travel,600,15,4800,travel Paris,15000,0.039,1.0000479128687536
VID0156,DIY Home Decor Ideas,Lifestyle,250,7,2100,DIY home decor,6000,0.0405,1.000050025548516
VID0157,How to Code a Basic Website,Technology,400,12,3200,coding website,9000,0.043111111111111114,1.0000537031762506
VID0158,Makeup Tutorial: Smokey Eye Look,Beauty,700,18,4500,makeup tutorial,18000,0.03788888888888889,1.0000463479207815
VID0159,Financial Tips for Young Professionals,Finance,150,6,2000,finance tips,4000,0.036,1.000043687509229
VID0160,Healthy Breakfast Ideas,Food,400,10,3200,breakfast healthy,10000,0.039,1.0000479128687536
VID0161,DIY Gardening: Planting Succulents,Gardening,200,5,1800,DIY gardening,6000,0.0325,1.0000387579231167
VID0162,Fashion Lookbook: Spring Collection,Fashion,550,12,3800,fashion spring,12000,0.044833333333333336,1.0000561288456074
VID0163,Meditation for Stress Relief,Wellness,350,9,2800,meditation stress,7000,0.04871428571428572,1.0000615949853102
VID0164,Book Review: The Alchemist,Literature,180,4,1500,books review,3000,0.058666666666666666,1.0000756124478607
VID0165,DIY Crafts: Handmade Greeting Cards,Crafts,280,6,2200,DIY crafts,7000,0.039142857142857146,1.0000481140763502
VID0166,Photography Tips for Beginners,Photography,420,11,3400,photography tips,11000,0.037181818181818184,1.0000453520447992
VID0167,Fitness Routine for Busy Professionals,Fitness,320,8,2600,fitness routine,8000,0.039,1.0000479128687536
VID0168,Quick and Easy Dinner Recipes,Cooking,600,14,4000,cooking recipes,12000,0.04883333333333333,1.0000617626583073
VID0169,Career Advice: Finding Your Passion,Career,200,5,1800,career advice,5000,0.039,1.0000479128687536
VID0170,How to Paint a Landscape,Art,380,10,3000,painting landscape,9000,0.04111111111111111,1.0000508862699007
VID0171,DIY Haircut Tutorial,Beauty,270,7,2300,DIY haircut,7000,0.03757142857142857,1.0000459007927895
VID0172,Travel Vlog: Exploring Tokyo,Travel,750,20,5600,travel Tokyo,18000,0.04055555555555555,1.0000501037959146
VID0173,Beginner's Guide to Investing,Finance,400,12,3200,investing beginner,10000,0.0388,1.0000476311781188
VID0174,Healthy Snack Ideas,Food,220,6,2000,snacks healthy,6000,0.035666666666666666,1.0000432180248373
VID0175,DIY Home Renovation Tips,Home Improvement,350,9,2800,DIY renovation,8000,0.042625,1.0000530185115128
VID0176,Makeup Tutorial: Natural Everyday Look,Beauty,680,15,4800,makeup tutorial,16000,0.0415625,1.0000515220300144
VID0177,How to Grow Your Own Herbs,Gardening,300,8,2400,gardening herbs,7000,0.04171428571428572,1.0000517358130856
VID0178,Fashion Haul: Summer Edition,Fashion,510,12,3800,fashion haul,13000,0.038307692307692306,1.0000469377857863
VID0179,Stress Management Techniques,Wellness,420,10,3400,stress management,11000,0.03727272727272727,1.000045480085997
VID0180,Classic Literature Recommendations,Literature,190,5,1700,literature classic,4000,0.04625,1.0000581241542719
VID0181,DIY Jewelry Making,Crafts,290,6,2200,DIY jewelry,8000,0.0355,1.0000429832826414
VID0182,Photography Composition Tips,Photography,450,12,3600,photography tips,12000,0.0365,1.0000443917358164
VID0183,Quick Workout Routine,Fitness,350,8,2700,workout routine,9000,0.038,1.0000465044155789
VID0184,Easy Dessert Recipes,Cooking,550,14,4000,dessert recipes,13000,0.04123076923076923,1.0000510548027592
VID0185,Interview Tips for Job Seekers,Career,240,6,2100,interview tips,6000,0.039,1.0000479128687536
VID0186,Landscape Photography Techniques,Photography,420,10,3400,photography landscape,10000,0.041,1.0000507297751036
VID0187,Haircare Routine for Healthy Hair,Beauty,690,15,4800,haircare routine,17000,0.039705882352941174,1.0000489070709948
VID0188,Solo Travel Tips,Travel,580,18,4500,travel tips,15000,0.03746666666666667,1.000045753240552
VID0189,Personal Finance Management,Finance,380,10,3000,finance management,8000,0.04625,1.0000581241542719
VID0190,Vegan Meal Ideas,Food,200,5,1800,vegan meal,5000,0.039,1.0000479128687536
VID0191,DIY Home Organization Tips,Home Improvement,300,8,2400,DIY organization,7000,0.04171428571428572,1.0000517358130856
VID0192,Everyday Makeup Tutorial,Beauty,720,20,5600,makeup tutorial,19000,0.03684210526315789,1.0000448735750604
VID0193,Indoor Gardening Tips,Gardening,280,7,2300,gardening indoor,8000,0.034125,1.000041046659526
VID0194,Summer Fashion Trends,Fashion,520,12,3800,fashion trends,14000,0.03628571428571428,1.0000440899244216
VID0195,Mindfulness Meditation Practice,Wellness,400,10,3200,mindfulness meditation,10000,0.039,1.0000479128687536
VID0196,Must-Read Books of the Decade,Literature,170,5,1600,books must-reads,3500,0.047142857142857146,1.0000593817017496
VID0197,DIY Sewing Projects,Crafts,270,6,2200,DIY sewing,7000,0.037714285714285714,1.000046102000386
VID0198,Advanced Photography Techniques,Photography,480,12,3600,photography advanced,11000,0.042545454545454546,1.0000529064754649
VID0199,Full Body Workout Routine,Fitness,370,8,2800,workout routine,9000,0.04022222222222222,1.000049634311523
VID0200,Gourmet Cooking at Home,Cooking,580,15,4500,gourmet cooking,14000,0.040357142857142855,1.0000498243409197
VID0201,How to Bake the Perfect Chocolate Cake,Cooking,250,10,1800,baking chocolate,5000,0.048,1.000060588947328
VID0202,Introduction to Machine Learning,Education,800,5,3600,machine learning,10000,0.0795,1.0001049552223384
VID0203,10 Tips for a Healthy Lifestyle,Health,150,3,2400,health lifestyle,3000,0.049,1.000061997400503
VID0204,DIY Home Decoration Ideas,Home & DIY,300,20,2700,DIY home decor,7000,0.04,1.0000493213219286
VID0205,Exploring the Grand Canyon,Travel,1000,15,5400,travel adventure,20000,0.04925,1.0000623495137968
VID0206,Yoga for Beginners,Health,400,8,3000,yoga fitness,8000,0.049,1.000061997400503
VID0207,How to Build a Birdhouse,Home & DIY,200,12,2100,DIY woodworking,6000,0.03133333333333333,1.0000371147277458
VID0208,Introduction to Astrophysics,Education,600,10,3300,astrophysics,12000,0.049166666666666664,1.0000622321426988
VID0209,Healthy Breakfast Ideas,Cooking,180,6,2000,cooking breakfast,4000,0.0435,1.0000542509080408
VID0210,Tips for Improving Concentration,Education,350,4,2500,education tips,6000,0.057666666666666665,1.0000742039946857
VID0211,Beginner's Guide to Gardening,Home & DIY,220,7,2400,gardening DIY,5000,0.0426,1.0000529833001834
VID0212,Mediterranean Diet Recipes,Cooking,400,15,2800,cooking recipes,9000,0.042777777777777776,1.000053233691859
VID0213,Exploring Ancient Rome,Travel,1200,20,6000,travel history,25000,0.0472,1.000059462184788
VID0214,Basic Car Maintenance Tips,Automotive,500,8,2700,automotive tips,8000,0.0615,1.0000796030651897
VID0215,Introduction to Classical Music,Music,700,5,3300,music classical,10000,0.0695,1.000090870690589
VID0216,Quick and Easy Dinner Ideas,Cooking,300,10,2200,cooking dinner,6000,0.04833333333333333,1.0000610584317198
VID0217,Beginner's Guide to Oil Painting,Art,250,6,2400,art painting,5000,0.0488,1.000061715709868
VID0218,Backpacking Tips for Beginners,Travel,400,12,2800,travel backpacking,8000,0.0485,1.0000612931739155
VID0219,Introduction to Quantum Mechanics,Education,800,10,3600,quantum mechanics,12000,0.06583333333333333,1.000085706362281
VID0220,Healthy Smoothie Recipes,Cooking,220,5,2000,cooking smoothies,4000,0.05375,1.000068687553084
VID0221,Tips for Home Organization,Home & DIY,350,8,2500,DIY organization,6000,0.057,1.0000732650259025
VID0222,Exploring the Great Barrier Reef,Travel,1500,25,7200,travel nature,30000,0.049166666666666664,1.0000622321426988
VID0223,Introduction to Psychology,Education,700,15,3300,psychology,10000,0.0685,1.0000894622374141
VID0224,DIY Halloween Decoration Ideas,Home & DIY,400,10,2800,DIY Halloween,8000,0.04875,1.0000616452872093
VID0225,Tips for Stress Management,Health,250,5,2200,health stress,6000,0.04083333333333333,1.0000504950329077
VID0226,History of Ancient Egypt,History,1000,20,5400,history Egypt,20000,0.049,1.000061997400503
VID0227,Introduction to Astronomy,Education,900,8,3900,astronomy,15000,0.05946666666666667,1.0000767392104006
VID0228,Delicious Vegan Recipes,Cooking,600,10,3300,cooking vegan,12000,0.049166666666666664,1.0000622321426988
VID0229,Tips for Saving Money,Finance,400,6,2800,finance saving,8000,0.04925,1.0000623495137968
VID0230,Travel Photography Tips,Photography,300,8,2500,photography travel,6000,0.048666666666666664,1.0000615279161114
VID0231,Introduction to Calculus,Education,800,10,3600,calculus,12000,0.06583333333333333,1.000085706362281
VID0232,DIY Furniture Restoration,Home & DIY,350,12,2800,DIY furniture,8000,0.04225,1.0000524903415722
VID0233,Healthy Snack Ideas,Cooking,220,5,2000,cooking snacks,4000,0.05375,1.000068687553084
VID0234,Tips for Time Management,Education,400,8,2800,education time,8000,0.049,1.000061997400503
VID0235,Exploring the Amazon Rainforest,Travel,1800,30,10800,travel nature,40000,0.04425,1.0000553072479221
VID0236,Introduction to Economics,Education,600,10,3300,economics,12000,0.049166666666666664,1.0000622321426988
VID0237,DIY Home Renovation Ideas,Home & DIY,400,15,2800,DIY renovation,8000,0.048125,1.000060765003975
VID0238,Healthy Dessert Recipes,Cooking,250,5,2200,cooking dessert,6000,0.04083333333333333,1.0000504950329077
VID0239,Tips for Effective Communication,Education,300,6,2400,education communication,6000,0.049,1.000061997400503
VID0240,Exploring the Taj Mahal,Travel,1500,25,7200,travel architecture,30000,0.049166666666666664,1.0000622321426988
VID0241,Beginner's Guide to Web Development,Technology,700,10,3300,web development,10000,0.069,1.0000901664640016
VID0242,DIY Gardening Tips,Home & DIY,300,8,2200,DIY gardening,6000,0.048666666666666664,1.0000615279161114
VID0243,Introduction to World History,Education,1000,15,5400,history world,20000,0.04925,1.0000623495137968
VID0244,Healthy Salad Recipes,Cooking,400,10,2800,cooking salad,8000,0.04875,1.0000616452872093
VID0245,Tips for Building Self-Confidence,Psychology,250,5,2200,psychology confidence,6000,0.04083333333333333,1.0000504950329077
VID0246,Photography Composition Techniques,Photography,300,8,2500,photography composition,6000,0.048666666666666664,1.0000615279161114
